 ????? 19 ????????????????????????????????????????????????? ??????????? ??????? ??????????????? (???) ,,,,,,,,,,,,,,,,,,,
" Table 19 Number of households by having devices of information and communication technology, region, province and area (contd.) ",,,,,,,,???????????? : In Thousands,,,,,,,,,,,
??? ???????,?????????????????,                        ????????????????  ,,                  ???????????????????????? ,,                       ???????????????????,,"  Region, province",,,,,,,,,,,
???????????????,Total,                       Computer   ,,                  Internet connection,,                   Mobile phone ownership,,  and area,,,,,,,,,,,
,household,??,?????,????????? ,???????????? ,??,?????,,,,,,,,,,,,
,,Have,None,Connected ,Not connected,Have,None,,,,,,,,,,,,
 ?????? ,"3,170.4",581.9,"2,588.5","2,925.8",244.6,"3,050.4",120.1,Southern region,,,,,,,,,,,
      ??????????? ,"1,161.5",289.5,872.0,"1,105.0",56.5,"1,136.3",25.2,     Municipal area,,,,,,,,,,,
      ???????????? ,"2,008.9",292.4,"1,716.5","1,820.8",188.2,"1,914.0",94.9,     Non-municipal area,,,,,,,,,,,
 ????????????? ,505.8,108.6,397.2,445.3,60.5,480.5,25.3,Nakhon Si Thammarat ,,,,,,,,,,,
 ?????? ,139.7,25.3,114.4,130.2,9.5,136.1,3.6,Krabi,,,,,,,,,,,
 ????? ,80.0,11.9,68.0,73.5,6.5,76.9,3.1,Phangnga,,,,,,,,,,,
 ?????? ,184.8,49.9,134.9,181.1,3.7,184.1,0.7,Phuket ,,,,,,,,,,,
 ???????????? ,402.0,54.6,347.5,378.0,24.0,393.0,9.0,Surat Thani,,,,,,,,,,,
 ????? ,97.9,15.9,82.1,91.6,6.3,96.0,2.0,Ranong,,,,,,,,,,,
 ????? ,180.4,30.4,150.1,166.4,14.1,178.7,1.7,Chumphon,,,,,,,,,,,
 ????? ,602.3,145.1,457.2,571.0,31.3,587.6,14.7,Songkhla,,,,,,,,,,,
 ???? ,87.7,17.3,70.3,82.7,5.0,85.3,2.4,Satun,,,,,,,,,,,
 ???? ,204.2,32.3,172.0,189.7,14.5,195.3,9.0,Trang,,,,,,,,,,,
 ?????? ,162.4,20.6,141.8,140.7,21.7,152.0,10.4,Phatthalung,,,,,,,,,,,
 ??????? ,175.2,24.9,150.3,160.2,15.0,165.0,10.2,Pattani ,,,,,,,,,,,
 ???? ,139.7,29.1,110.6,131.7,8.0,133.4,6.3,Yala,,,,,,,,,,,
 ???????? ,208.4,16.1,192.3,183.8,24.6,186.4,22.0,Narathiwat,,,,,,,,,,,
" ???????? :     ???????????????????, ??????????????? ??????????????????????????  ",,,,,,," Note :     PC/Desktop, Notebook/Laptop, Netbook, Tablet  ",,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
